File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
394, 1213433632, 7827539, 1290450873, 470015
395, 1221977366, 7867144, 1304010341, 577063
396, 1230523150, 7946255, 1319906487, 747826
397, 1239046979, 7986160, 1329038742, 752349
398, 1247715251, 8066570, 1326936031, 469633
399, 1256381127, 8106789, 1340717879, 587780
39, 3849089, 4301, 3913069, 4302
400, 1265071806, 8187289, 1349991117, 587524
401, 1273803293, 8228200, 1354703887, 481534
402, 1282580188, 8310025, 1364045961, 481512
403, 1291436167, 8351244, 1371153452, 7952600
404, 1300312068, 8433562, 1382915992, 481187
405, 1309198453, 8475089, 1394720148, 537268
406, 1318155495, 8558736, 1411367233, 739450
407, 1327088318, 8600570, 1430521255, 957995
408, 1336137147, 8684316, 1464753275, 1677477
409, 1345223852, 8726858, 1512652318, 3036714
40, 4069411, 4454, 4138312, 4454
410, 1354323255, 8811945, 1522727670, 3044097
411, 1363494008, 8854813, 1504607642, 2033088
412, 1372676042, 8940419, 1484455335, 1111641
413, 1381869724, 8983573, 1481970724, 792046
414, 1391165761, 9070537, 1484522834, 638768
415, 1400513400, 9114031, 1489566203, 507000
416, 1409870602, 9201071, 1499525713, 10415327
417, 1419245507, 9245286, 1511989893, 574992
418, 1428702838, 9333699, 1522066730, 576760
419, 1438209953, 9378236, 1534709900, 643367
41, 4296335, 4495, 4370405, 4496
420, 1447698805, 9467181, 1547367224, 703623
421, 1457251369, 9512028, 1557571365, 707695
422, 1466908814, 9602348, 1562778167, 583593
423, 1476541027, 9647510, 1588501855, 981178
424, 1486221118, 9737931, 1598890120, 983765
425, 1495943171, 9783851, 1601495068, 786148
426, 1505736980, 9875660, 1604156005, 605206
427, 1515560074, 9921902, 1614623461, 610808
428, 1525432744, 10014256, 1622527536, 10895365
429, 1535283870, 10060809, 1640918120, 732670
42, 4538024, 4593, 4617514, 4593
430, 1545250232, 10154560, 1675702222, 1354207
431, 1555225128, 10201445, 1694660245, 1648995
432, 1565258533, 10295305, 1705524338, 1653035
433, 1575360451, 10342944, 1689116067, 880706
434, 1585443388, 10438218, 1689095834, 610881
435, 1595571055, 10486198, 1702597606, 689577
436, 1605734852, 10582010, 1713443432, 689182
437, 1615994852, 10630308, 1721656406, 619661
438, 1626303992, 10727565, 1751980404, 1151670
439, 1636618314, 10776197, 1763060138, 1154230
43, 4774862, 4645, 4860033, 4645
440, 1646991083, 10873552, 1768595079, 957704
441, 1657407008, 10922954, 1763011943, 11243928
442, 1667821613, 11021749, 1785289824, 840864
443, 1678364629, 11071501, 1796560223, 848546
444, 1688899471, 11170860, 1804993733, 767439
445, 1699447008, 11220919, 1813423967, 705678
446, 1710095836, 11321732, 1824783824, 714679
447, 1720764150, 11372141, 1833309091, 656869
448, 1731482824, 11473056, 1839011552, 12966331
449, 1742240125, 11524262, 1856196486, 660216
44, 5027208, 4800, 5118308, 4801
450, 1753049691, 11626644, 1870611254, 717369
451, 1763891247, 11678189, 1890940123, 951947
452, 1774765311, 11781133, 1914403526, 1233071
453, 1785735113, 11833011, 1947219156, 1892847
454, 1796678761, 11937449, 2027475174, 4183231
455, 1807752690, 11989667, 2055801385, 5126289
456, 1818801214, 12094217, 2068130963, 5160561
457, 1829938044, 12147235, 2004368466, 2215640
458, 1841108242, 12253283, 1988773828, 1339079
459, 1852298870, 12306649, 1988607396, 1062348
45, 5285972, 4847, 5383294, 4848
460, 1863579354, 12413261, 1991563084, 819814
461, 1874880565, 12466974, 1997552830, 693679
462, 1886229813, 12575101, 2006604332, 12742868
463, 1897603260, 12629178, 2021769824, 701586
464, 1909067012, 12737406, 2033985243, 701337
465, 1920563954, 12792282, 2052421884, 837558
466, 1932087670, 12902029, 2064729624, 865468
467, 1943635419, 12957276, 2080193221, 934945
468, 1955267414, 13067606, 2098932384, 1095412
469, 1966936174, 13123198, 2111434295, 1101112
46, 5555513, 4959, 5659315, 4959
470, 1978644464, 13235070, 2104987443, 12779002
471, 1990421328, 13291019, 2130211757, 932680
472, 2002256012, 13403007, 2165414930, 1504522
473, 2014036284, 13459776, 2178108466, 1512222
474, 2026002251, 13573304, 2174714213, 1140966
475, 2037933175, 13630444, 2171319942, 736144
476, 2049899974, 13744581, 2193801913, 966917
477, 2061962924, 13802068, 2206696587, 971899
478, 2074044916, 13917752, 2206549763, 15284573
479, 2086207763, 13975598, 2226042107, 824789
47, 5828142, 5008, 5938708, 5009
480, 2098344305, 14091404, 2255542413, 1205699
481, 2110560964, 14150098, 2316072896, 2640528
482, 2122881291, 14267483, 2329475003, 2646296
483, 2135173916, 14326542, 2332495107, 2334961
484, 2147501301, 14444520, 2304882727, 1140995
485, 2159938244, 14503947, 2304704782, 841594
486, 2172360524, 14623518, 2314588540, 5235526
487, 2184893841, 14683307, 2338121027, 992504
488, 2197446545, 14802994, 2351540772, 994877
489, 2210030864, 14863636, 2354735858, 766200
48, 6113401, 5193, 6231033, 5194
490, 2222727646, 14984927, 2382013160, 1083917
491, 2235388464, 15045953, 2419987428, 1760918
492, 2248168763, 15167846, 2433759662, 1764364
493, 2260951500, 15229233, 2426415172, 1206105
494, 2273740590, 15352761, 2422637244, 784939
495, 2286670256, 15414517, 2443414585, 949929
496, 2299566691, 15538151, 2474881671, 1400717
497, 2312577941, 15600779, 2488845721, 1407571
498, 2325639878, 15726040, 2481485829, 868279
499, 2338676718, 15789054, 2506097392, 1145724
49, 6401728, 5245, 6526705, 5246
500, 2351818475, 15914926, 2520159644, 1144920
50, 6708882, 5357, 6841508, 5358
51, 7008095, 5420, 7148666, 5420
52, 7323952, 5613, 7472792, 5613
53, 7645781, 5667, 7803211, 5669
54, 7976099, 5784, 8142445, 5784
55, 8325953, 5846, 8501546, 5847
56, 8680238, 6062, 8865402, 6062
57, 9033326, 6118, 9228411, 6119
58, 9405556, 6243, 9610907, 6245
